config,dataset,model,seed,best_epoch,best_acc
A,CIFAR100,resnet18,42,299,78.95
H1,CIFAR100,resnet18,42,298,81.94
H3,CIFAR100,resnet18,42,291,80.87
H4,CIFAR100,resnet18,42,299,81.16
H5,CIFAR100,resnet18,42,294,81.61
Baseline,CIFAR100,resnet18,42,295,79.29
PureCutMix,CIFAR100,resnet18,42,294,81.85
PureCutMix,CIFAR100,resnet50,42,299,83.68
PureCutMix,CIFAR100,resnet50,42,299,83.68
H1,CIFAR100,resnet50,42,297,83.4
H1,CIFAR100,resnet50,42,297,83.4
PureCutMix,CIFAR100,wresnet28_10,42,299,85.74
PureCutMix,CIFAR100,wresnet28_10,42,299,85.74
H1,CIFAR100,wresnet28_10,42,293,85.41
H1,CIFAR100,wresnet28_10,42,293,85.41
