dataset,model,seed,best_epoch,best_acc,method
CIFAR10,resnet18,42,293,96.9,proposed
CIFAR10,resnet18,123,289,96.6,proposed
CIFAR10,resnet18,456,292,96.69,proposed
CIFAR10,resnet50,42,294,96.56,proposed
CIFAR10,resnet50,123,298,96.74,proposed
CIFAR10,resnet50,456,298,96.77,proposed
CIFAR10,wresnet28_10,42,298,97.37,proposed
CIFAR100,resnet18,42,289,79.62,proposed
CIFAR10,wresnet28_10,456,299,97.69,proposed
CIFAR10,wresnet28_10,123,299,97.54,proposed
CIFAR100,resnet18,456,295,79.07,proposed
CIFAR100,resnet18,123,286,79.15,proposed
CIFAR100,resnet50,42,288,80.57,proposed
CIFAR100,resnet50,456,296,80.81,proposed
CIFAR100,resnet50,123,289,81.31,proposed
CIFAR100,wresnet28_10,42,294,83.2,proposed
CIFAR100,wresnet28_10,123,295,82.87,proposed
CIFAR100,wresnet28_10,456,281,82.67,proposed
CIFAR100,resnet18,42,290,79.47,config_G
